
Quadro extraído em 15 de Janeiro de 2025 (22:47:02)
http://www.ine.pt



Período de referência dos dados;Consumo individual por objetivo;Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %) por Consumo individual por objetivo -  Mensal;
Abril de 2024;Total;3,5;
;Produtos alimentares e bebidas não alcoólicas;4,1;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;-0,4;
;Habitação, água, electricidade, gás e outros combustíveis;-0,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;4;
;Transportes;0,9;
;Comunicações;4,7;
;Lazer, recreação e cultura;2,8;
;Educação;3,4;
;Restaurantes e hotéis;9,7;
;Bens e serviços diversos;1,3;
Março de 2024;Total;3,8;
;Produtos alimentares e bebidas não alcoólicas;5,4;
;Bebidas alcoólicas e tabaco;3,5;
;Vestuário e calçado;-0,2;
;Habitação, água, electricidade, gás e outros combustíveis;-1,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,9;
;Saúde;3,6;
;Transportes;0,5;
;Comunicações;4,6;
;Lazer, recreação e cultura;3,1;
;Educação;3,4;
;Restaurantes e hotéis;10,8;
;Bens e serviços diversos;1,3;
Fevereiro de 2024;Total;4,3;
;Produtos alimentares e bebidas não alcoólicas;6,9;
;Bebidas alcoólicas e tabaco;3,7;
;Vestuário e calçado;0;
;Habitação, água, electricidade, gás e outros combustíveis;-1,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,8;
;Saúde;3,3;
;Transportes;0,1;
;Comunicações;4,6;
;Lazer, recreação e cultura;3,3;
;Educação;3,3;
;Restaurantes e hotéis;11,4;
;Bens e serviços diversos;1,5;
Janeiro de 2024;Total;4,8;
;Produtos alimentares e bebidas não alcoólicas;8,6;
;Bebidas alcoólicas e tabaco;3,9;
;Vestuário e calçado;0,4;
;Habitação, água, electricidade, gás e outros combustíveis;-1,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;4,7;
;Saúde;2,9;
;Transportes;0,1;
;Comunicações;4,3;
;Lazer, recreação e cultura;3,6;
;Educação;3,2;
;Restaurantes e hotéis;11,9;
;Bens e serviços diversos;1,7;
Dezembro de 2023;Total;5,3;
;Produtos alimentares e bebidas não alcoólicas;10;
;Bebidas alcoólicas e tabaco;4;
;Vestuário e calçado;0,8;
;Habitação, água, electricidade, gás e outros combustíveis;-1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;5,6;
;Saúde;2,4;
;Transportes;0,3;
;Comunicações;3,8;
;Lazer, recreação e cultura;3,6;
;Educação;3,1;
;Restaurantes e hotéis;12,3;
;Bens e serviços diversos;1,9;
Novembro de 2023;Total;5,9;
;Produtos alimentares e bebidas não alcoólicas;11,5;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;1;
;Habitação, água, electricidade, gás e outros combustíveis;1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;6,6;
;Saúde;1,9;
;Transportes;0,6;
;Comunicações;3,3;
;Lazer, recreação e cultura;3,7;
;Educação;2,9;
;Restaurantes e hotéis;12,7;
;Bens e serviços diversos;2,2;
Outubro de 2023;Total;6,6;
;Produtos alimentares e bebidas não alcoólicas;13;
;Bebidas alcoólicas e tabaco;4,2;
;Vestuário e calçado;1,1;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;7,5;
;Saúde;1,3;
;Transportes;1,2;
;Comunicações;3,1;
;Lazer, recreação e cultura;3,8;
;Educação;2,8;
;Restaurantes e hotéis;13,2;
;Bens e serviços diversos;2,4;
Setembro de 2023;Total;7,2;
;Produtos alimentares e bebidas não alcoólicas;14,2;
;Bebidas alcoólicas e tabaco;4,2;
;Vestuário e calçado;1,2;
;Habitação, água, electricidade, gás e outros combustíveis;5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;8,3;
;Saúde;0,6;
;Transportes;2;
;Comunicações;2,9;
;Lazer, recreação e cultura;4,1;
;Educação;2,7;
;Restaurantes e hotéis;13,8;
;Bens e serviços diversos;2,5;
Agosto de 2023;Total;7,6;
;Produtos alimentares e bebidas não alcoólicas;15,1;
;Bebidas alcoólicas e tabaco;4,2;
;Vestuário e calçado;1,3;
;Habitação, água, electricidade, gás e outros combustíveis;6,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;9,1;
;Saúde;-0,1;
;Transportes;2,5;
;Comunicações;2,7;
;Lazer, recreação e cultura;4,3;
;Educação;2,6;
;Restaurantes e hotéis;14,5;
;Bens e serviços diversos;2,7;
Julho de 2023;Total;8;
;Produtos alimentares e bebidas não alcoólicas;15,9;
;Bebidas alcoólicas e tabaco;4;
;Vestuário e calçado;1,2;
;Habitação, água, electricidade, gás e outros combustíveis;7,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;9,6;
;Saúde;-0,8;
;Transportes;3,1;
;Comunicações;2,6;
;Lazer, recreação e cultura;4,5;
;Educação;2,4;
;Restaurantes e hotéis;14,7;
;Bens e serviços diversos;2,8;
Junho de 2023;Total;8,4;
;Produtos alimentares e bebidas não alcoólicas;16,5;
;Bebidas alcoólicas e tabaco;3,9;
;Vestuário e calçado;1,2;
;Habitação, água, electricidade, gás e outros combustíveis;9,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;10,1;
;Saúde;-1,5;
;Transportes;4,4;
;Comunicações;2,4;
;Lazer, recreação e cultura;4,6;
;Educação;2,3;
;Restaurantes e hotéis;15;
;Bens e serviços diversos;2,8;
Maio de 2023;Total;8,8;
;Produtos alimentares e bebidas não alcoólicas;16,9;
;Bebidas alcoólicas e tabaco;3,8;
;Vestuário e calçado;1,1;
;Habitação, água, electricidade, gás e outros combustíveis;10,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;10,5;
;Saúde;-2,1;
;Transportes;5,9;
;Comunicações;2,3;
;Lazer, recreação e cultura;4,7;
;Educação;2,2;
;Restaurantes e hotéis;15,1;
;Bens e serviços diversos;2,8;
Abril de 2023;Total;9;
;Produtos alimentares e bebidas não alcoólicas;17,3;
;Bebidas alcoólicas e tabaco;3,7;
;Vestuário e calçado;1;
;Habitação, água, electricidade, gás e outros combustíveis;12,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;10,7;
;Saúde;-2;
;Transportes;7;
;Comunicações;2,1;
;Lazer, recreação e cultura;4,7;
;Educação;2,1;
;Restaurantes e hotéis;14,6;
;Bens e serviços diversos;2,8;
Março de 2023;Total;9,1;
;Produtos alimentares e bebidas não alcoólicas;16,8;
;Bebidas alcoólicas e tabaco;3,2;
;Vestuário e calçado;0,7;
;Habitação, água, electricidade, gás e outros combustíveis;13,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;10,6;
;Saúde;-1,8;
;Transportes;8,2;
;Comunicações;2,1;
;Lazer, recreação e cultura;4,7;
;Educação;2;
;Restaurantes e hotéis;14,2;
;Bens e serviços diversos;2,8;
Fevereiro de 2023;Total;8,9;
;Produtos alimentares e bebidas não alcoólicas;15,8;
;Bebidas alcoólicas e tabaco;3,1;
;Vestuário e calçado;0,6;
;Habitação, água, electricidade, gás e outros combustíveis;13,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;10,3;
;Saúde;-1,7;
;Transportes;9,2;
;Comunicações;1,8;
;Lazer, recreação e cultura;4,6;
;Educação;1,9;
;Restaurantes e hotéis;13,8;
;Bens e serviços diversos;2,7;
Janeiro de 2023;Total;8,5;
;Produtos alimentares e bebidas não alcoólicas;14,4;
;Bebidas alcoólicas e tabaco;2,8;
;Vestuário e calçado;0,7;
;Habitação, água, electricidade, gás e outros combustíveis;13,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;9,8;
;Saúde;-1,6;
;Transportes;9,8;
;Comunicações;1,6;
;Lazer, recreação e cultura;4,5;
;Educação;1,8;
;Restaurantes e hotéis;13,3;
;Bens e serviços diversos;2,6;
Dezembro de 2022;Total;8,1;
;Produtos alimentares e bebidas não alcoólicas;13;
;Bebidas alcoólicas e tabaco;2,6;
;Vestuário e calçado;0,8;
;Habitação, água, electricidade, gás e outros combustíveis;12,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;9,2;
;Saúde;-1,4;
;Transportes;9,9;
;Comunicações;1,9;
;Lazer, recreação e cultura;4,4;
;Educação;1,6;
;Restaurantes e hotéis;12,7;
;Bens e serviços diversos;2,4;
Novembro de 2022;Total;7,5;
;Produtos alimentares e bebidas não alcoólicas;11,6;
;Bebidas alcoólicas e tabaco;2,3;
;Vestuário e calçado;0,8;
;Habitação, água, electricidade, gás e outros combustíveis;11,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;8,2;
;Saúde;-1,1;
;Transportes;10;
;Comunicações;1,9;
;Lazer, recreação e cultura;4,3;
;Educação;1,5;
;Restaurantes e hotéis;12;
;Bens e serviços diversos;2,2;
Outubro de 2022;Total;6,9;
;Produtos alimentares e bebidas não alcoólicas;10;
;Bebidas alcoólicas e tabaco;2;
;Vestuário e calçado;0,7;
;Habitação, água, electricidade, gás e outros combustíveis;10,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;7,3;
;Saúde;-0,8;
;Transportes;10;
;Comunicações;1,8;
;Lazer, recreação e cultura;4,1;
;Educação;1,4;
;Restaurantes e hotéis;11,2;
;Bens e serviços diversos;2;
Setembro de 2022;Total;6,2;
;Produtos alimentares e bebidas não alcoólicas;8,5;
;Bebidas alcoólicas e tabaco;1,9;
;Vestuário e calçado;0,4;
;Habitação, água, electricidade, gás e outros combustíveis;9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;6,3;
;Saúde;-0,4;
;Transportes;9,8;
;Comunicações;1,8;
;Lazer, recreação e cultura;3,8;
;Educação;1,3;
;Restaurantes e hotéis;9,9;
;Bens e serviços diversos;1,8;
Agosto de 2022;Total;5,4;
;Produtos alimentares e bebidas não alcoólicas;7,2;
;Bebidas alcoólicas e tabaco;1,7;
;Vestuário e calçado;0,1;
;Habitação, água, electricidade, gás e outros combustíveis;8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;5,4;
;Saúde;0;
;Transportes;9,6;
;Comunicações;1,8;
;Lazer, recreação e cultura;3,5;
;Educação;1,1;
;Restaurantes e hotéis;8,3;
;Bens e serviços diversos;1,7;
Julho de 2022;Total;4,8;
;Produtos alimentares e bebidas não alcoólicas;6;
;Bebidas alcoólicas e tabaco;1,6;
;Vestuário e calçado;0;
;Habitação, água, electricidade, gás e outros combustíveis;6,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;4,5;
;Saúde;0,5;
;Transportes;9,2;
;Comunicações;1,7;
;Lazer, recreação e cultura;3;
;Educação;0,9;
;Restaurantes e hotéis;6,9;
;Bens e serviços diversos;1,5;
Junho de 2022;Total;4,1;
;Produtos alimentares e bebidas não alcoólicas;4,8;
;Bebidas alcoólicas e tabaco;1,5;
;Vestuário e calçado;0;
;Habitação, água, electricidade, gás e outros combustíveis;5,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,6;
;Saúde;1;
;Transportes;8,6;
;Comunicações;1,6;
;Lazer, recreação e cultura;2,5;
;Educação;0,6;
;Restaurantes e hotéis;5,5;
;Bens e serviços diversos;1,5;
Maio de 2022;Total;3,3;
;Produtos alimentares e bebidas não alcoólicas;3,7;
;Bebidas alcoólicas e tabaco;1,3;
;Vestuário e calçado;0,2;
;Habitação, água, electricidade, gás e outros combustíveis;4,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,7;
;Saúde;1,5;
;Transportes;7,7;
;Comunicações;1,5;
;Lazer, recreação e cultura;2;
;Educação;0,4;
;Restaurantes e hotéis;3,3;
;Bens e serviços diversos;1,4;
Abril de 2022;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;2,7;
;Bebidas alcoólicas e tabaco;1,2;
;Vestuário e calçado;0,5;
;Habitação, água, electricidade, gás e outros combustíveis;3,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;1,6;
;Transportes;7,3;
;Comunicações;1,3;
;Lazer, recreação e cultura;1,6;
;Educação;0,1;
;Restaurantes e hotéis;1,8;
;Bens e serviços diversos;1,4;
Março de 2022;Total;2;
;Produtos alimentares e bebidas não alcoólicas;1,8;
;Bebidas alcoólicas e tabaco;1,2;
;Vestuário e calçado;0,8;
;Habitação, água, electricidade, gás e outros combustíveis;3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,2;
;Saúde;1,7;
;Transportes;6,5;
;Comunicações;1;
;Lazer, recreação e cultura;1;
;Educação;-0,1;
;Restaurantes e hotéis;0,4;
;Bens e serviços diversos;1,4;
Fevereiro de 2022;Total;1,5;
;Produtos alimentares e bebidas não alcoólicas;1,3;
;Bebidas alcoólicas e tabaco;1;
;Vestuário e calçado;0,5;
;Habitação, água, electricidade, gás e outros combustíveis;2,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,8;
;Saúde;1,8;
;Transportes;5,8;
;Comunicações;0,8;
;Lazer, recreação e cultura;0,7;
;Educação;-0,4;
;Restaurantes e hotéis;-0,3;
;Bens e serviços diversos;1,3;
Janeiro de 2022;Total;1,2;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;1;
;Vestuário e calçado;0,1;
;Habitação, água, electricidade, gás e outros combustíveis;2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,3;
;Saúde;2;
;Transportes;5;
;Comunicações;0,6;
;Lazer, recreação e cultura;0,3;
;Educação;-0,6;
;Restaurantes e hotéis;-0,8;
;Bens e serviços diversos;1,2;
Dezembro de 2021;Total;0,9;
;Produtos alimentares e bebidas não alcoólicas;0,7;
;Bebidas alcoólicas e tabaco;0,9;
;Vestuário e calçado;-0,2;
;Habitação, água, electricidade, gás e outros combustíveis;1,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,1;
;Saúde;2,1;
;Transportes;4,3;
;Comunicações;0,3;
;Lazer, recreação e cultura;-0,1;
;Educação;-0,8;
;Restaurantes e hotéis;-1,2;
;Bens e serviços diversos;1,3;
Novembro de 2021;Total;0,7;
;Produtos alimentares e bebidas não alcoólicas;0,6;
;Bebidas alcoólicas e tabaco;1;
;Vestuário e calçado;-0,7;
;Habitação, água, electricidade, gás e outros combustíveis;1,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,2;
;Saúde;2,3;
;Transportes;3,6;
;Comunicações;0,1;
;Lazer, recreação e cultura;-0,5;
;Educação;-1,1;
;Restaurantes e hotéis;-1,5;
;Bens e serviços diversos;1,3;
Outubro de 2021;Total;0,4;
;Produtos alimentares e bebidas não alcoólicas;0,7;
;Bebidas alcoólicas e tabaco;1;
;Vestuário e calçado;-1,1;
;Habitação, água, electricidade, gás e outros combustíveis;1,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,3;
;Saúde;2,4;
;Transportes;2,6;
;Comunicações;0;
;Lazer, recreação e cultura;-0,9;
;Educação;-1,3;
;Restaurantes e hotéis;-1,8;
;Bens e serviços diversos;1,3;
Setembro de 2021;Total;0,2;
;Produtos alimentares e bebidas não alcoólicas;0,8;
;Bebidas alcoólicas e tabaco;0,9;
;Vestuário e calçado;-1,2;
;Habitação, água, electricidade, gás e outros combustíveis;0,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;2,4;
;Transportes;1,7;
;Comunicações;-0,3;
;Lazer, recreação e cultura;-1,1;
;Educação;-1,5;
;Restaurantes e hotéis;-2,2;
;Bens e serviços diversos;1,4;
Agosto de 2021;Total;0,1;
;Produtos alimentares e bebidas não alcoólicas;0,9;
;Bebidas alcoólicas e tabaco;0,8;
;Vestuário e calçado;-1,3;
;Habitação, água, electricidade, gás e outros combustíveis;0,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;2,3;
;Transportes;0,9;
;Comunicações;-0,5;
;Lazer, recreação e cultura;-1,4;
;Educação;-1,5;
;Restaurantes e hotéis;-2,6;
;Bens e serviços diversos;1,4;
Julho de 2021;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;0,6;
;Vestuário e calçado;-1,1;
;Habitação, água, electricidade, gás e outros combustíveis;0,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,6;
;Saúde;2,2;
;Transportes;0,2;
;Comunicações;-0,6;
;Lazer, recreação e cultura;-1,9;
;Educação;-1,4;
;Restaurantes e hotéis;-2,6;
;Bens e serviços diversos;1,4;
Junho de 2021;Total;-0,2;
;Produtos alimentares e bebidas não alcoólicas;1,2;
;Bebidas alcoólicas e tabaco;0,5;
;Vestuário e calçado;-1;
;Habitação, água, electricidade, gás e outros combustíveis;0,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;2,1;
;Transportes;-0,4;
;Comunicações;-0,8;
;Lazer, recreação e cultura;-2,2;
;Educação;-1,4;
;Restaurantes e hotéis;-2,6;
;Bens e serviços diversos;1,4;
Maio de 2021;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;1,5;
;Bebidas alcoólicas e tabaco;0,5;
;Vestuário e calçado;-1,7;
;Habitação, água, electricidade, gás e outros combustíveis;0,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;2;
;Transportes;-0,9;
;Comunicações;-0,9;
;Lazer, recreação e cultura;-2,4;
;Educação;-1,3;
;Restaurantes e hotéis;-1,5;
;Bens e serviços diversos;1,4;
Abril de 2021;Total;-0,2;
;Produtos alimentares e bebidas não alcoólicas;1,7;
;Bebidas alcoólicas e tabaco;0,4;
;Vestuário e calçado;-2,6;
;Habitação, água, electricidade, gás e outros combustíveis;-0,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;1,8;
;Transportes;-1,7;
;Comunicações;-1;
;Lazer, recreação e cultura;-2,6;
;Educação;-1,2;
;Restaurantes e hotéis;-0,8;
;Bens e serviços diversos;1,3;
Março de 2021;Total;-0,2;
;Produtos alimentares e bebidas não alcoólicas;2;
;Bebidas alcoólicas e tabaco;0,3;
;Vestuário e calçado;-3,5;
;Habitação, água, electricidade, gás e outros combustíveis;-0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;1,7;
;Transportes;-2,3;
;Comunicações;-1,3;
;Lazer, recreação e cultura;-2,5;
;Educação;-1,1;
;Restaurantes e hotéis;-0,2;
;Bens e serviços diversos;1,3;
Fevereiro de 2021;Total;-0,2;
;Produtos alimentares e bebidas não alcoólicas;2,1;
;Bebidas alcoólicas e tabaco;0,4;
;Vestuário e calçado;-3,3;
;Habitação, água, electricidade, gás e outros combustíveis;-0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;1,5;
;Transportes;-2,7;
;Comunicações;-1,6;
;Lazer, recreação e cultura;-2,6;
;Educação;-1;
;Restaurantes e hotéis;0,1;
;Bens e serviços diversos;1,3;
Janeiro de 2021;Total;-0,2;
;Produtos alimentares e bebidas não alcoólicas;2,1;
;Bebidas alcoólicas e tabaco;0,4;
;Vestuário e calçado;-3,3;
;Habitação, água, electricidade, gás e outros combustíveis;0;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;1,3;
;Transportes;-2,5;
;Comunicações;-1,9;
;Lazer, recreação e cultura;-2,7;
;Educação;-0,9;
;Restaurantes e hotéis;0,3;
;Bens e serviços diversos;1,4;
Dezembro de 2020;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;2,1;
;Bebidas alcoólicas e tabaco;0,5;
;Vestuário e calçado;-3,3;
;Habitação, água, electricidade, gás e outros combustíveis;0,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;1,1;
;Transportes;-2,1;
;Comunicações;-2,2;
;Lazer, recreação e cultura;-2,7;
;Educação;-0,9;
;Restaurantes e hotéis;0,4;
;Bens e serviços diversos;1,4;
Novembro de 2020;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;2;
;Bebidas alcoólicas e tabaco;0,4;
;Vestuário e calçado;-3,1;
;Habitação, água, electricidade, gás e outros combustíveis;0,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;1;
;Transportes;-1,8;
;Comunicações;-2,5;
;Lazer, recreação e cultura;-2,6;
;Educação;-0,8;
;Restaurantes e hotéis;0,6;
;Bens e serviços diversos;1,4;
Outubro de 2020;Total;0;
;Produtos alimentares e bebidas não alcoólicas;1,8;
;Bebidas alcoólicas e tabaco;0,6;
;Vestuário e calçado;-2,9;
;Habitação, água, electricidade, gás e outros combustíveis;0;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;0,8;
;Transportes;-1,4;
;Comunicações;-2,7;
;Lazer, recreação e cultura;-2,6;
;Educação;-0,7;
;Restaurantes e hotéis;0,8;
;Bens e serviços diversos;1,4;
Setembro de 2020;Total;0;
;Produtos alimentares e bebidas não alcoólicas;1,6;
;Bebidas alcoólicas e tabaco;0,7;
;Vestuário e calçado;-2,8;
;Habitação, água, electricidade, gás e outros combustíveis;0;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;0,7;
;Transportes;-1,2;
;Comunicações;-2,9;
;Lazer, recreação e cultura;-2,6;
;Educação;-0,6;
;Restaurantes e hotéis;1;
;Bens e serviços diversos;1,4;
Agosto de 2020;Total;0,1;
;Produtos alimentares e bebidas não alcoólicas;1,5;
;Bebidas alcoólicas e tabaco;0,8;
;Vestuário e calçado;-2,8;
;Habitação, água, electricidade, gás e outros combustíveis;0;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;0,7;
;Transportes;-1;
;Comunicações;-3,1;
;Lazer, recreação e cultura;-2,5;
;Educação;-0,4;
;Restaurantes e hotéis;1,2;
;Bens e serviços diversos;1,5;
Julho de 2020;Total;0,1;
;Produtos alimentares e bebidas não alcoólicas;1,3;
;Bebidas alcoólicas e tabaco;1;
;Vestuário e calçado;-3,1;
;Habitação, água, electricidade, gás e outros combustíveis;0;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,6;
;Saúde;0,7;
;Transportes;-0,7;
;Comunicações;-3,4;
;Lazer, recreação e cultura;-2,1;
;Educação;-0,2;
;Restaurantes e hotéis;1,2;
;Bens e serviços diversos;1,5;
Junho de 2020;Total;0;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;1,2;
;Vestuário e calçado;-3,6;
;Habitação, água, electricidade, gás e outros combustíveis;0;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,6;
;Saúde;0,7;
;Transportes;-0,4;
;Comunicações;-3,7;
;Lazer, recreação e cultura;-1,8;
;Educação;-0,1;
;Restaurantes e hotéis;0,9;
;Bens e serviços diversos;1,5;
Maio de 2020;Total;0,1;
;Produtos alimentares e bebidas não alcoólicas;0,8;
;Bebidas alcoólicas e tabaco;1,3;
;Vestuário e calçado;-3,5;
;Habitação, água, electricidade, gás e outros combustíveis;0,1;
